,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',3
4,'2000-05-01',3
5,'2000-06-01',3
6,'2000-07-01',5
7,'2000-08-01',5
8,'2000-09-01',5
9,'2000-10-01',5
10,'2000-11-01',5
11,'2000-12-01',5
12,'2001-01-01',6
13,'2001-02-01',8
14,'2001-03-01',9
15,'2001-04-01',9
16,'2001-05-01',10
17,'2001-06-01',10
18,'2001-07-01',10
19,'2001-08-01',10
20,'2001-09-01',10
21,'2001-10-01',10
22,'2001-11-01',10
23,'2001-12-01',10
24,'2002-01-01',11
25,'2002-02-01',12
26,'2002-03-01',12
27,'2002-04-01',12
28,'2002-05-01',12
29,'2002-06-01',15
30,'2002-07-01',15
31,'2002-08-01',16
32,'2002-09-01',16
33,'2002-10-01',17
34,'2002-11-01',19
35,'2002-12-01',19
36,'2003-01-01',19
37,'2003-02-01',19
38,'2003-03-01',19
39,'2003-04-01',19
40,'2003-05-01',20
41,'2003-06-01',20
42,'2003-07-01',20
43,'2003-08-01',20
44,'2003-09-01',20
45,'2003-10-01',20
46,'2003-11-01',20
47,'2003-12-01',21
48,'2004-01-01',21
49,'2004-02-01',21
50,'2004-03-01',21
51,'2004-04-01',21
52,'2004-05-01',21
53,'2004-06-01',21
54,'2004-07-01',21
55,'2004-08-01',21
56,'2004-09-01',22
57,'2004-10-01',24
58,'2004-11-01',25
59,'2004-12-01',26
60,'2005-01-01',27
61,'2005-02-01',32
62,'2005-03-01',34
63,'2005-04-01',34
64,'2005-05-01',35
65,'2005-06-01',35
66,'2005-07-01',37
67,'2005-08-01',38
68,'2005-09-01',44
69,'2005-10-01',48
70,'2005-11-01',50
71,'2005-12-01',55
72,'2006-01-01',59
73,'2006-02-01',62
74,'2006-03-01',69
75,'2006-04-01',73
76,'2006-05-01',81
77,'2006-06-01',87
78,'2006-07-01',90
79,'2006-08-01',94
80,'2006-09-01',101
81,'2006-10-01',108
82,'2006-11-01',117
83,'2006-12-01',125
84,'2007-01-01',136
85,'2007-02-01',145
86,'2007-03-01',160
87,'2007-04-01',174
88,'2007-05-01',183
89,'2007-06-01',191
90,'2007-07-01',202
91,'2007-08-01',210
92,'2007-09-01',214
93,'2007-10-01',220
94,'2007-11-01',238
95,'2007-12-01',257
