,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',0
3,'2000-04-01',0
4,'2000-05-01',0
5,'2000-06-01',0
6,'2000-07-01',0
7,'2000-08-01',0
8,'2000-09-01',0
9,'2000-10-01',0
10,'2000-11-01',0
11,'2000-12-01',0
12,'2001-01-01',0
13,'2001-02-01',0
14,'2001-03-01',0
15,'2001-04-01',0
16,'2001-05-01',0
17,'2001-06-01',0
18,'2001-07-01',0
19,'2001-08-01',0
20,'2001-09-01',0
21,'2001-10-01',0
22,'2001-11-01',0
23,'2001-12-01',0
24,'2002-01-01',0
25,'2002-02-01',0
26,'2002-03-01',0
27,'2002-04-01',0
28,'2002-05-01',0
29,'2002-06-01',0
30,'2002-07-01',0
31,'2002-08-01',0
32,'2002-09-01',0
33,'2002-10-01',0
34,'2002-11-01',0
35,'2002-12-01',0
36,'2003-01-01',0
37,'2003-02-01',0
38,'2003-03-01',1
39,'2003-04-01',1
40,'2003-05-01',1
41,'2003-06-01',1
42,'2003-07-01',1
43,'2003-08-01',1
44,'2003-09-01',1
45,'2003-10-01',1
46,'2003-11-01',1
47,'2003-12-01',1
48,'2004-01-01',1
49,'2004-02-01',1
50,'2004-03-01',1
51,'2004-04-01',1
52,'2004-05-01',1
53,'2004-06-01',1
54,'2004-07-01',1
55,'2004-08-01',1
56,'2004-09-01',1
57,'2004-10-01',1
58,'2004-11-01',1
59,'2004-12-01',1
60,'2005-01-01',1
61,'2005-02-01',1
62,'2005-03-01',1
63,'2005-04-01',1
64,'2005-05-01',1
65,'2005-06-01',1
66,'2005-07-01',1
67,'2005-08-01',1
68,'2005-09-01',2
69,'2005-10-01',2
70,'2005-11-01',2
71,'2005-12-01',2
72,'2006-01-01',2
73,'2006-02-01',3
74,'2006-03-01',3
75,'2006-04-01',3
76,'2006-05-01',3
77,'2006-06-01',3
78,'2006-07-01',5
79,'2006-08-01',7
80,'2006-09-01',7
81,'2006-10-01',7
82,'2006-11-01',8
83,'2006-12-01',9
84,'2007-01-01',11
85,'2007-02-01',12
86,'2007-03-01',13
87,'2007-04-01',13
88,'2007-05-01',13
89,'2007-06-01',13
90,'2007-07-01',13
91,'2007-08-01',13
92,'2007-09-01',16
93,'2007-10-01',16
94,'2007-11-01',17
95,'2007-12-01',19
96,'2008-01-01',19
97,'2008-02-01',20
98,'2008-03-01',21
99,'2008-04-01',22
100,'2008-05-01',23
101,'2008-06-01',23
102,'2008-07-01',23
103,'2008-08-01',23
104,'2008-09-01',24
105,'2008-10-01',24
106,'2008-11-01',26
107,'2008-12-01',28
108,'2009-01-01',28
109,'2009-02-01',30
110,'2009-03-01',30
111,'2009-04-01',31
112,'2009-05-01',32
113,'2009-06-01',34
114,'2009-07-01',34
115,'2009-08-01',34
116,'2009-09-01',34
117,'2009-10-01',36
118,'2009-11-01',37
119,'2009-12-01',38
120,'2010-01-01',38
121,'2010-02-01',39
122,'2010-03-01',41
123,'2010-04-01',44
124,'2010-05-01',45
125,'2010-06-01',47
126,'2010-07-01',48
127,'2010-08-01',49
128,'2010-09-01',50
129,'2010-10-01',51
130,'2010-11-01',53
131,'2010-12-01',54
132,'2011-01-01',56
133,'2011-02-01',56
134,'2011-03-01',60
135,'2011-04-01',62
136,'2011-05-01',67
137,'2011-06-01',68
138,'2011-07-01',68
139,'2011-08-01',73
140,'2011-09-01',74
141,'2011-10-01',76
142,'2011-11-01',77
143,'2011-12-01',80
144,'2012-01-01',85
145,'2012-02-01',88
146,'2012-03-01',92
147,'2012-04-01',93
148,'2012-05-01',96
149,'2012-06-01',98
150,'2012-07-01',98
151,'2012-08-01',99
152,'2012-09-01',99
153,'2012-10-01',101
154,'2012-11-01',103
155,'2012-12-01',104
156,'2013-01-01',106
157,'2013-02-01',108
158,'2013-03-01',110
159,'2013-04-01',110
160,'2013-05-01',112
161,'2013-06-01',116
162,'2013-07-01',118
163,'2013-08-01',120
164,'2013-09-01',121
165,'2013-10-01',124
166,'2013-11-01',126
167,'2013-12-01',129
168,'2014-01-01',132
169,'2014-02-01',136
170,'2014-03-01',138
171,'2014-04-01',139
172,'2014-05-01',140
173,'2014-06-01',141
174,'2014-07-01',141
175,'2014-08-01',145
176,'2014-09-01',148
177,'2014-10-01',161
178,'2014-11-01',181
179,'2014-12-01',196
180,'2015-01-01',217
181,'2015-02-01',265
182,'2015-03-01',317
183,'2015-04-01',365
184,'2015-05-01',390
185,'2015-06-01',414
186,'2015-07-01',430
187,'2015-08-01',461
188,'2015-09-01',498
189,'2015-10-01',558
190,'2015-11-01',594
191,'2015-12-01',616
192,'2016-01-01',638
193,'2016-02-01',671
194,'2016-03-01',723
195,'2016-04-01',754
196,'2016-05-01',789
197,'2016-06-01',833
198,'2016-07-01',868
199,'2016-08-01',895
200,'2016-09-01',929
201,'2016-10-01',963
202,'2016-11-01',1001
203,'2016-12-01',1006
204,'2017-01-01',1012
205,'2017-02-01',1017
206,'2017-03-01',1025
207,'2017-04-01',1031
208,'2017-05-01',1036
209,'2017-06-01',1041
210,'2017-07-01',1050
211,'2017-08-01',1053
212,'2017-09-01',1058
213,'2017-10-01',1061
214,'2017-11-01',1066
215,'2017-12-01',1074
